rank,score,job_id,tab,position,company,title,url,reasons
13,46.80,linkedin-4466448454,default,,Hired,Go Software Engineer (Remote),https://www.linkedin.com/jobs/view/4466448454/,✓ Excellent role relevance for software engineer | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
14,46.80,linkedin-4466449599,default,,Hire Feed,"Software Engineer, Micro Platforms (Remote)",https://www.linkedin.com/jobs/view/4466449599/,✓ Excellent role relevance for software engineer | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
15,46.80,linkedin-4466458377,default,,Hire Feed,Software Engineer - Open Source (Remote),https://www.linkedin.com/jobs/view/4466458377/,✓ Excellent role relevance for software engineer | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
16,42.90,linkedin-4458714525,default,,LUXASIA,AI Engineer - Agentic AI & Automation,https://www.linkedin.com/jobs/view/4458714525/,✓ Strong core tech match (agentic ai) | ✓ Matched secondary skills (automation) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
17,38.90,linkedin-4465525783,default,,Legal Experts AI,Python Developer,https://www.linkedin.com/jobs/view/4465525783/,✓ Strong core tech match (python) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
18,38.90,linkedin-4465721392,default,,BeFiSc,Python Developer,https://www.linkedin.com/jobs/view/4465721392/,✓ Strong core tech match (python) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
19,38.90,linkedin-4466091651,default,,Tata Consultancy Services,Python Developer,https://www.linkedin.com/jobs/view/4466091651/,✓ Strong core tech match (python) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
20,38.90,linkedin-4466503850,default,,Visdum,Python Developer - AI & Data Engineer,https://www.linkedin.com/jobs/view/4466503850/,✓ Strong core tech match (python) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
21,38.90,linkedin-4466505222,default,,Talentgigs,Agentic AI Engineer,https://www.linkedin.com/jobs/view/4466505222/,✓ Strong core tech match (agentic ai) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
22,38.90,linkedin-4466534040,default,,ThreatXIntel,GENERATIVE AI ENGINEER,https://www.linkedin.com/jobs/view/4466534040/,✓ Strong core tech match (generative ai) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
23,36.80,linkedin-4464811347,default,,Jobgether,QA Engineer - Automation,https://www.linkedin.com/jobs/view/4464811347/,"✓ Matched secondary skills (qa, automation) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match"
24,35.28,linkedin-4467450109,default,,Quik Hire Staffing,AI Software Engineer (Remote),https://www.linkedin.com/jobs/view/4467450109/,✓ Excellent role relevance for software engineer | ✓ Below target experience requirement | ○ Posting date unknown | ✓ Recommended feed match
25,34.80,linkedin-4452381807,default,,Logen.io,QA Engineer (AI Products),https://www.linkedin.com/jobs/view/4452381807/,✓ Matched secondary skills (qa) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
26,34.80,linkedin-4463955463,default,,Descrptive®,QA Engineer,https://www.linkedin.com/jobs/view/4463955463/,✓ Matched secondary skills (qa) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
27,34.80,linkedin-4464889878,default,,Leena AI,QA Engineer - Implementation Team,https://www.linkedin.com/jobs/view/4464889878/,✓ Matched secondary skills (qa) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
28,34.80,linkedin-4465721390,default,,4 Way Technologies,"QA Engineer (Manual), Delhi-NCR Only",https://www.linkedin.com/jobs/view/4465721390/,✓ Matched secondary skills (qa) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
29,34.80,linkedin-4466084725,default,,"PracticeSuite, Inc.",QA Engineer - HL7 Interface - US Healthcare,https://www.linkedin.com/jobs/view/4466084725/,✓ Matched secondary skills (qa) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
30,34.80,linkedin-4466188559,default,,Rikaian Technology Pvt. Ltd.,QA Engineer,https://www.linkedin.com/jobs/view/4466188559/,✓ Matched secondary skills (qa) | ✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
31,30.80,linkedin-4403888326,default,,ALESAYI HOLDING | العيسائي القابضة,ML engineer,https://www.linkedin.com/jobs/view/4403888326/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
32,30.80,linkedin-4454235607,default,,MSI Services Pvt Ltd,AI Developer,https://www.linkedin.com/jobs/view/4454235607/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
33,30.80,linkedin-4458501392,default,,OATI,AI Engineer,https://www.linkedin.com/jobs/view/4458501392/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
34,30.80,linkedin-4464873659,default,,TuTeck Technologies,AI/ML Engineer,https://www.linkedin.com/jobs/view/4464873659/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
35,30.80,linkedin-4465507226,default,,Falcon Wise Technology,AI/ML Engineer,https://www.linkedin.com/jobs/view/4465507226/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
36,30.80,linkedin-4465717277,default,,Orbion Infotech,AI Developer,https://www.linkedin.com/jobs/view/4465717277/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
37,30.80,linkedin-4466082487,default,,Accellor,AI Developer,https://www.linkedin.com/jobs/view/4466082487/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
38,30.80,linkedin-4466475795,default,,Weekday AI (YC W21),AI Engineer,https://www.linkedin.com/jobs/view/4466475795/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
39,30.80,linkedin-4466507361,default,,BT Group,AI Engineer,https://www.linkedin.com/jobs/view/4466507361/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
40,30.80,linkedin-4466530403,default,,Bajaj Finserv,AI/ML Engineer - GEO / AEO projects,https://www.linkedin.com/jobs/view/4466530403/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
41,30.80,linkedin-4467095446,default,,RHC India,AI Engineer,https://www.linkedin.com/jobs/view/4467095446/,✓ Experience requirements open | ○ Posting date unknown | ✓ Recommended feed match
