job_id,reason,detail,company,title,url
linkedin-4467443904,filter_experience,requires 5.0y > ceiling 3.5y,Quik Hire Staffing,Senior Full Stack Engineer (Remote),https://www.linkedin.com/jobs/view/4467443904/
linkedin-4466151991,filter_title,title contains blocked term 'java',Talentgigs,Core java backend developer - Springboot microservice,https://www.linkedin.com/jobs/view/4466151991/
linkedin-4409883231,filter_title,title contains blocked term 'lead',Agoda,"Staff/Lead Software Engineer, Back End (Bangkok based - Relocation provided)",https://www.linkedin.com/jobs/view/4409883231/
linkedin-4453930347,filter_title,title contains blocked term 'lead',BT Group,Lead Software Engineer - Full Stack,https://www.linkedin.com/jobs/view/4453930347/
linkedin-4464860699,filter_title,title contains blocked term 'salesforce',Closeloop Technologies,Salesforce Manual QA Engineer,https://www.linkedin.com/jobs/view/4464860699/
linkedin-4466060155,filter_title,title contains blocked term 'salesforce',BS Resourcing,Salesforce Test Automation Engineer,https://www.linkedin.com/jobs/view/4466060155/
linkedin-4464841635,filter_title,title contains blocked term 'intern',Venxr,"Full Stack Developer Intern – Python, Django",https://www.linkedin.com/jobs/view/4464841635/
linkedin-4409871410,filter_title,title contains blocked term 'lead',Agoda,"Staff/Lead Software Engineer, Back End (Bangkok based - Relocation provided)",https://www.linkedin.com/jobs/view/4409871410/
linkedin-4467454048,filter_experience,requires 5.0y > ceiling 3.5y,Quik Hire Staffing,Senior Full-Stack Software Engineer (Remote),https://www.linkedin.com/jobs/view/4467454048/
linkedin-4409866435,filter_title,title contains blocked term 'lead',Agoda,"Staff/Lead Software Engineer, Back End (Bangkok based - Relocation provided)",https://www.linkedin.com/jobs/view/4409866435/
linkedin-4463485183,filter_experience,requires 5.0y > ceiling 3.5y,dSPACE,Senior Software Developer,https://www.linkedin.com/jobs/view/4463485183/
linkedin-4464526193,filter_title,title contains blocked term 'java',Docdort,Java Full Stack Developer,https://www.linkedin.com/jobs/view/4464526193/
linkedin-4464187241,filter_title,title contains blocked term 'java',Zensar Technologies,Java Full Stack Developer,https://www.linkedin.com/jobs/view/4464187241/
linkedin-4465609174,filter_experience,junior-family role requires 5.0y > 2.0y cap (low-probability slot),Anblicks,Senior QA Automation Engineer – AI-Driven Automation,https://www.linkedin.com/jobs/view/4465609174/
linkedin-4463056633,filter_title,title contains blocked term 'principal',ArkInfoCubes LLC,Principal GEN AI Engineer,https://www.linkedin.com/jobs/view/4463056633/
linkedin-4463890751,filter_title,title contains blocked term '.net',Relic Consultancy Services,"Full-stack Developer - Dot Net (C#, Angular)",https://www.linkedin.com/jobs/view/4463890751/
linkedin-4467445315,low_match_score,rank score 19.3 below configured minimum 25.0,Quik Hire Staffing,AI/ML Engineer (Remote),https://www.linkedin.com/jobs/view/4467445315/
