job_id,tab,position,total_jobs_in_tab,company,title,url,scraped_at
reco-150926004376,profile,44,62,ERM Placement Services,Data Privacy - A/ SA/ M,https://www.naukri.com/job-listings-150926004376,2026-09-18T16:25:17.402851+00:00
reco-020726025664,profile,45,62,Xpertdox,Senior Sas Programmer,https://www.naukri.com/job-listings-020726025664,2026-09-18T16:25:19.282005+00:00
reco-180926031364,profile,46,62,Protiviti India,"Commercial Contracts & Data Privacy (EU & AI, 1-Year Contract)",https://www.naukri.com/job-listings-180926031364,2026-09-18T16:25:21.198729+00:00
reco-170926034830,profile,47,62,Teamlease Digital Private Limted,Profisee MDM Developer,https://www.naukri.com/job-listings-170926034830,2026-09-18T16:25:23.118655+00:00
reco-160926502343,profile,48,62,JPMorgan Chase Bank,Data Governance Associate,https://www.naukri.com/job-listings-160926502343,2026-09-18T16:25:25.498518+00:00
reco-100926019288,profile,49,62,MNC,Oracle security -ERP oracle cloud (immediate Joiner),https://www.naukri.com/job-listings-100926019288,2026-09-18T16:25:27.496358+00:00
reco-180926021801,profile,50,62,Uniqus,Data Security and Privacy Consultant,https://www.naukri.com/job-listings-180926021801,2026-09-18T16:25:29.428301+00:00
reco-100926012546,profile,51,62,A leading MNC Company,Oracle Cloud Security Consultant - C2H,https://www.naukri.com/job-listings-100926012546,2026-09-18T16:25:31.329009+00:00
reco-160926500278,profile,52,62,Workiy Technologies,Sr. Technical Architect,https://www.naukri.com/job-listings-160926500278,2026-09-18T16:25:33.200091+00:00
reco-150926039019,profile,53,62,EXL,Data Engineer Fabric,https://www.naukri.com/job-listings-150926039019,2026-09-18T16:25:35.065320+00:00
reco-170926500060,profile,54,62,Kldiscovery,Litigation Data Analyst,https://www.naukri.com/job-listings-170926500060,2026-09-18T16:25:36.935163+00:00
reco-150926007575,profile,55,62,Deloitte Shared Services India,Conga CPQ Developer (Salesforce),https://www.naukri.com/job-listings-150926007575,2026-09-18T16:25:38.830921+00:00
reco-160926936732,top_candidate,1,77,Accenture,Customer Service Associate,https://www.naukri.com/job-listings-160926936732,2026-09-18T16:25:53.355318+00:00
reco-150926926257,top_candidate,2,77,Soul Ai,Blockchain Developer (Freelancer),https://www.naukri.com/job-listings-150926926257,2026-09-18T16:25:55.343646+00:00
reco-150926931146,top_candidate,3,77,Soul Ai,Blockchain Developer (Freelancer),https://www.naukri.com/job-listings-150926931146,2026-09-18T16:25:57.326564+00:00
reco-170926035179,top_candidate,4,77,Recruito,Micro Strategy Developer,https://www.naukri.com/job-listings-170926035179,2026-09-18T16:25:59.301442+00:00
reco-150926933046,top_candidate,5,77,Soul Ai,Blockchain Developer (Freelancer),https://www.naukri.com/job-listings-150926933046,2026-09-18T16:26:01.300294+00:00
reco-160926012309,top_candidate,6,77,Lonza,Contract Data Specialist,https://www.naukri.com/job-listings-160926012309,2026-09-18T16:26:03.254607+00:00
reco-140926918802,top_candidate,7,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926918802,2026-09-18T16:26:05.203092+00:00
reco-140926916628,top_candidate,8,77,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-140926916628,2026-09-18T16:26:07.151442+00:00
